nom_model,type_reseau_de_neurone,winrate,training_time,nb_partie,nb_epoch,nb_simulation,batch_size,UBC_coef_C,temperature,dirichlet_epsilon,dirichlet_alpha,learning_rate,weight_decay
model_resnet-12_6_cycle.pt,resnet,54.5,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
model_resnet-12_7_cycle.pt,resnet,59.0,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
model_resnet-12_8_cycle.pt,resnet,59.0,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
model_resnet-12_9_cycle.pt,resnet,58.0,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035
model_resnet-12_10_cycle.pt,resnet,70.5,223.71999999999997,40,1,200,2,1.24,1.5,0.42,0.46,5e-05,0.00035

model_resnet-13_1_cycle.pt,resnet,54.0,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_2_cycle.pt,resnet,64.0,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_3_cycle.pt,resnet,62.0,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_4_cycle.pt,resnet,62.0,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_5_cycle.pt,resnet,64.5,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_6_cycle.pt,resnet,54.5,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_7_cycle.pt,resnet,66.0,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_8_cycle.pt,resnet,63.5,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_9_cycle.pt,resnet,64.0,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-13_10_cycle.pt,resnet,66.5,685.33,40,1,200,2,1.24,1.5,0.42,0.46,0.0001,0.00035

model_resnet-14_1_cycle.pt,resnet,59.0,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_2_cycle.pt,resnet,55.5,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_3_cycle.pt,resnet,56.0,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_4_cycle.pt,resnet,56.0,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_5_cycle.pt,resnet,57.0,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_6_cycle.pt,resnet,65.5,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_7_cycle.pt,resnet,51.0,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_8_cycle.pt,resnet,61.0,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_9_cycle.pt,resnet,58.0,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035
model_resnet-14_10_cycle.pt,resnet,56.5,1097.08,400,4,200,64,1.24,1.5,0.42,0.46,0.0001,0.00035

model_resnet-15_1_cycle.pt,resnet,65.0,1711.7,30,4,400,4,1.24,1.5,0.42,0.46,2e-05,0.00035
model_resnet-15_2_cycle.pt,resnet,67.5,1711.7,30,4,400,4,1.24,1.5,0.42,0.46,2e-05,0.00035

model_resnet-16_1_cycle.pt,resnet,59.5,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035
model_resnet-16_2_cycle.pt,resnet,63,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035
model_resnet-16_3_cycle.pt,resnet,65.5,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035
model_resnet-16_4_cycle.pt,resnet,62,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035
model_resnet-16_5_cycle.pt,resnet,65,1711.7,40,3,400,4,1.24,1.5,0.42,0.46,8e-06,0.00035
